"Guanacaste","Abangares"
"San José","Acosta"
"Alajuela","Alajuela"
"San José","Alajuelita"
"Cartago","Alvarado"
"San José","Aserrí"
"Alajuela","Atenas"
"Guanacaste","Bagaces"
"Heredia","Barva"
"Heredia","Belén"
"Puntarenas","Buenos Aires"
"Guanacaste","Cañas"
"Guanacaste","Carrillo"
"Cartago","Cartago"
"Puntarenas","Corredores"
"Puntarenas","Coto Brus"
"San José","Curridabat"
"San José","Desamparados"
"San José","Dota"
"Cartago","El Guarco"
"San José","Escazú"
"Puntarenas","Esparza"
"Heredia","Flores"
"Puntarenas","Garabito"
"San José","Goicoechea"
"Puntarenas","Golfito"
"Alajuela","Grecia"
"Limón","Guácimo"
"Alajuela","Guatuso"
"Heredia","Heredia"
"Guanacaste","Hojancha"
"Cartago","Jiménez"
"Guanacaste","La Cruz"
"Cartago","La Union"
"San José","León Cortés Castro"
"Guanacaste","Liberia"
"Limón","Limón"
"Alajuela","Los Chiles"
"Limón","Matina"
"San José","Montes De Oca"
"Puntarenas","Montes De Oro"
"San José","Mora"
"San José","Moravia"
"Guanacaste","Nandayure"
"Alajuela","Naranjo"
"Guanacaste","Nicoya"
"Cartago","Oreamuno"
"Alajuela","Orotina"
"Puntarenas","Osa"
"Alajuela","Palmares"
"Cartago","Paraíso"
"Puntarenas","Parrita"
"San José","Pérez Zeledón"
"Alajuela","Poás"
"Limón","Pococí"
"Puntarenas","Puntarenas"
"San José","Puriscal"
"Puntarenas","Quepos"
"Alajuela","San Carlos"
"Heredia","San Isidro"
"San José","San José"
"Alajuela","San Mateo"
"Heredia","San Pablo"
"Heredia","San Rafael"
"Alajuela","San Ramón"
"San José","Santa Ana"
"Heredia","Santa Barbara"
"Guanacaste","Santa Cruz"
"Heredia","Santo Domingo"
"Heredia","Sarapiquí"
"Limón","Siquirres"
"Limón","Talamanca"
"San José","Tarrazú"
"San José","Tibas"
"Guanacaste","Tilarán"
"Cartago","Turrialba"
"San José","Turrubares"
"Alajuela","Upala"
"Alajuela","Valverde Vega"
"San José","Vásquez De Coronado"
"Alajuela","Zarcero"
